Date,Actual,cancellation,% On-Time,% On-Time,precent
1/1,16339,116,78.38,78.39,0.007099578
1/2,18368,127,75.2,74.85,0.006914199
1/3,17597,93,80.99,81.84,0.005284992
1/4,17710,44,86.92,87.95,0.002484472
1/5,15123,100,83.31,83.05,0.006612445
1/6,17381,240,80.03,80.18,0.013808181
1/7,18058,87,85.39,84.52,0.004817809
1/8,17024,184,89.1,88.99,0.010808271
1/9,17430,157,89.73,89.09,0.009007458
1/10,17967,168,85.7,84.98,0.009350476
1/11,18039,185,85.29,83.71,0.010255557
1/12,13506,320,87.12,84.9,0.023693173
1/13,16108,682,84.23,83.67,0.04233921
1/14,17887,206,85.58,84.55,0.011516744
1/15,16877,213,85.96,84.17,0.012620726
1/16,17183,254,88.01,86.47,0.014782052
1/17,17944,157,82.59,79.95,0.008749443
1/18,17736,382,80.14,78.05,0.021538115
1/19,11983,1501,82.69,80.05,0.125260786
1/20,14210,1067,80.21,78.9,0.075087966
1/21,17105,577,74.15,72.65,0.033732827
1/22,15887,1117,77.75,76.63,0.070309058
1/23,16934,509,75.06,72.37,0.030057872
1/24,17680,433,71.63,68.51,0.02449095
1/25,18026,159,78.5,77.57,0.008820592
1/26,13746,62,87.07,86.73,0.004510403
1/27,16633,184,83.65,81.25,0.011062346
1/28,16726,1341,82.66,82.08,0.080174579
1/29,16046,1046,85.88,85.29,0.065187586
1/30,15361,2078,80.18,79.05,0.135277651
1/31,16462,1658,77.31,78.04,0.100716802
2/1,17771,390,75.03,74.02,0.021945867
2/2,13143,316,83.95,84.43,0.024043217
2/3,15021,216,89.91,89.91,0.014379868
2/4,17837,276,83.67,83.83,0.015473454
2/5,16651,439,87.2,86,0.026364783
2/6,17119,323,83.56,81.38,0.018867925
2/7,17626,458,77.11,75.44,0.025984341
2/8,17871,292,78.54,76.87,0.016339321
2/9,13556,235,85.51,85.14,0.017335497
2/10,16385,430,76.28,73.43,0.026243515
2/11,17242,837,77.45,75.96,0.048544252
2/12,15314,1778,69.84,65.56,0.116102912
2/13,16926,549,74.88,72.44,0.032435307
2/14,18106,325,76.38,75,0.017949851
2/15,18434,187,78.05,77.08,0.010144299
2/16,14263,86,84.79,83.86,0.006029587
2/17,15502,612,78.16,75.26,0.039478777
2/18,18079,278,72.11,70.18,0.015376957
2/19,17621,320,76.81,74.21,0.01816015
2/20,16335,1790,64.65,60.38,0.109580655
2/21,17874,658,71.64,71.62,0.036813248
2/22,18219,328,72.3,71.78,0.018003183
2/23,14346,360,79.28,78.03,0.025094103
2/24,16606,790,78.33,77.94,0.047573166
2/25,17636,892,74.17,74.29,0.050578362
2/26,17534,423,81.78,79.87,0.024124558
2/27,17392,318,81.88,79.73,0.018284269
2/28,18373,241,75.5,74.74,0.013117074
2/29,18299,333,73.15,71.21,0.018197716
3/1,14878,374,75.27,72.05,0.025137787
3/2,17087,782,74.1,70.19,0.045765787
3/3,18118,765,76.21,76.27,0.042223203
3/4,18059,209,81.98,80.48,0.011573177
3/5,18270,221,82.87,81.32,0.012096333
3/6,18934,187,81.13,80.68,0.009876413
3/7,19027,237,80.21,79.9,0.012455984
3/8,15678,365,70.59,69.06,0.023281031
3/9,18237,304,71.25,71.63,0.016669408
3/10,19032,234,84.27,85.3,0.012295082
3/11,18519,231,84.83,83.4,0.012473676
3/12,17364,1545,81.24,81.1,0.088977194
3/13,18228,1079,74.16,75.9,0.059194646
3/14,18847,457,77.34,78.14,0.024247891
3/15,15911,301,83.26,85.71,0.01891773
3/16,18317,311,87.02,88.4,0.016978763
3/17,19012,277,89.72,91.04,0.014569745
3/18,18456,307,90.04,91.31,0.016634157
3/19,18617,317,87.81,88.99,0.017027448
3/20,19003,237,84.07,84.53,0.012471715
3/21,18970,301,79.61,80.22,0.015867159
3/22,15889,207,86.43,88.75,0.013027881
3/23,18252,246,86.25,88.23,0.013477975
3/24,18868,350,83.82,84.32,0.018549926
3/25,18457,251,87.78,88.78,0.013599176
3/26,18664,248,86.48,87.75,0.013287613
3/27,19028,226,87.58,89.11,0.011877234
3/28,19091,190,87.19,88.1,0.009952334
3/29,15911,186,88.58,89.77,0.011690026
3/30,18301,202,84.51,85.2,0.011037648