Origin_airport,Delayed,% Delayed,Average,Arrivals,Delayed,% Delayed,Average
,Gate,Gate,Minutes,For Metric,Gate,Gate,Minutes
ABQ,"6,462",13.3,43.97,"48,495","7,742",15.96,42.97
ANC,"18,309",15.26,42.42,"101,433","16,384",16.15,50.25
ATL,"80,758",12.55,41.26,"643,129","68,713",10.68,49.23
AUS,"16,799",14.72,44.69,"112,992","21,013",18.6,45.81
BDL,"8,155",14.98,45.93,"54,418","10,232",18.8,44.57
BHM,"7,188",18.51,45.68,"38,909","9,300",23.9,45.85
BNA,"20,541",14.08,43.07,"145,817","22,130",15.18,44.91
BOS,"45,561",16.03,45.3,"281,651","47,443",16.84,51.43
BUF,"6,829",14.8,49.22,"45,896","8,084",17.61,45.29
BUR,"11,681",18.58,42.45,"62,922","12,454",19.79,39.72
BWI,"29,682",15.82,39.79,"187,348","23,986",12.8,44.93
CLE,"11,983",14.31,47.02,"82,973","14,361",17.31,47.34
CLT,"58,367",14.07,43.91,"415,225","51,809",12.48,48.24
CVG,"25,088",22.95,47.04,"111,209","19,359",17.41,44.97
DAL,"28,219",20.93,37.72,"135,116","25,214",18.66,45.6
DAY,"3,641",13.88,50.04,"26,204","4,825",18.41,45.87
DCA,"23,495",11.7,45.2,"201,055","26,525",13.19,49.9
DEN,"73,812",15.54,44.14,"474,868","68,422",14.41,49.12
DFW,"84,587",15.65,44.29,"541,000","80,338",14.85,51.43
DTW,"32,488",11.52,45.45,"281,502","29,132",10.35,49.03
EWR,"60,174",20.49,50.68,"292,762","63,130",21.56,60.41
FLL,"35,819",17.44,42.06,"204,595","34,176",16.7,45.98
GYY,"1,032",52.23,44.78,"2,024","1,039",51.33,50.23
HNL,"12,632",8.8,29.04,"138,525","16,191",11.69,37.74
HOU,"21,985",20.32,39.05,"108,060","17,775",16.45,44.34
HPN,"19,310",42.16,42.7,"45,780","18,951",41.4,48.02
IAD,"33,031",17.2,46.76,"191,204","34,829",18.22,48.74
IAH,"47,624",14.52,48.21,"328,280","50,801",15.47,48.71
IND,"24,603",21.08,42.95,"112,637","18,389",16.33,43.84
ISP,"1,827",17.02,45.97,"10,702","2,103",19.65,45.9
JAX,"7,747",13.41,44.76,"57,550","10,892",18.93,45.17
JFK,"48,602",16.82,44.82,"289,669","39,124",13.51,52.01
LAS,"42,368",14.25,39.07,"297,335","47,999",16.14,43.94
LAX,"71,656",15.51,40.97,"460,899","67,901",14.73,42.76
LGA,"36,902",15.33,45.64,"240,996","47,925",19.89,58.38
LGB,"2,914",11.19,41.83,"26,049","3,677",14.12,41.63
MCI,"8,139",9.51,45.43,"85,564","11,856",13.86,44.96
MCO,"37,650",14.84,44.78,"253,367","39,222",15.48,47.46
MDW,"30,224",20.61,38.24,"146,748","22,266",15.17,45.97
MEM,"70,802",41.03,43.83,"167,490","40,798",24.36,42.09
MHT,"6,519",26.13,66.94,"24,916","5,059",20.3,43.18
MIA,"42,987",17.12,46.17,"245,710","35,478",14.44,47.68
MKE,"11,791",17.24,49.27,"68,438","13,340",19.49,46.12
MSP,"34,233",12.02,44,"284,368","33,290",11.71,48.34
MSY,"13,157",14.66,41.83,"89,616","14,825",16.54,45.69
OAK,"23,709",19.99,39.08,"118,206","23,467",19.85,40.14
OGG,"4,158",8.42,28.29,"49,168","4,649",9.46,37.08
OMA,"10,025",18.23,44.67,"54,046","10,728",19.85,45.05
ONT,"14,104",20.44,51.22,"69,396","15,498",22.33,40.9
ORD,"102,770",15.94,46.41,"647,162","99,050",15.31,58.14
OXR,151,18.69,41.6,818,305,37.29,43.31
PBI,"18,267",28.51,42.91,"63,729","19,691",30.9,46.49
PDX,"21,335",13.65,44.22,"156,134","22,914",14.68,39.61
PHL,"38,155",14.3,45.95,"266,715","40,832",15.31,50.44
PHX,"39,515",12.84,41.19,"307,773","41,966",13.64,42.09
PIT,"14,729",14.97,43.44,"98,391","16,426",16.69,44.58
PSP,"4,729",18.14,43.75,"26,077","5,754",22.07,42.41
PVD,"4,426",13.22,46.47,"33,394","6,193",18.55,43.21
RDU,"17,539",15.73,46.38,"111,465","19,530",17.52,45.9
RFD,"4,222",23.35,40.39,"18,088","4,016",22.2,38.85
RSW,"7,645",12.18,43.38,"62,680","10,346",16.51,45.24
SAN,"17,956",11.44,42.25,"156,471","22,935",14.66,40.29
SAT,"12,829",16.19,44.56,"78,934","14,495",18.36,44.76
SDF,"44,495",33.79,37.83,"130,627","26,621",20.38,43.02
SEA,"45,255",13.75,39.11,"329,701","48,682",14.77,40.52
SFO,"52,321",17.27,43.2,"303,547","57,864",19.06,55.09
SJC,"16,214",13.6,39.15,"119,083","17,478",14.68,41.12
SJU,"10,544",11.87,48.05,"87,724","12,302",14.02,44.76
SLC,"28,558",13.12,43.31,"217,218","28,200",12.98,43.99
SMF,"11,114",11.78,44.06,"94,303","12,865",13.64,41.33
SNA,"14,982",18.5,40.96,"81,288","16,816",20.69,41.99
STL,"20,017",14.51,40.36,"137,774","19,218",13.95,44.3
SWF,"1,812",24.14,45.05,"7,456","2,377",31.88,44.15
TEB,"33,066",65.77,50.24,"50,133","30,217",60.27,50.28
TPA,"18,905",13.48,44.45,"140,482","24,040",17.11,46.46
TUS,"4,633",13.3,47.9,"35,131","6,601",18.79,43.52
VNY,"14,152",65,46.75,"22,175","13,139",59.25,51.03